Date,Gender,WeightGroupMap,WeightClass,Location,label,Fighter,Odds,ExpectedValue,CurrentLoseStreak,CurrentWinStreak,Draws,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,LongestWinStreak,Losses,TotalRoundsFought,TotalTitleBouts,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage,Wins,Stance,HeightCms,ReachCms,WeightLbs,Age,Year,Corner,Win,Record,WinRatio,WinRatioPercentage,FinishRate,ExpPerAge,HeightReachRatio,WinsByDecision,DecisionRate,FighterYear
2022-10-22,MALE,Medium,Middleweight,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,AJ Dobson,185.0,185.0,1,0,0,4.29,0.46,0.3,1.67,0.75,1,1,4,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,30,2022,Blue,No,1-1-0,0.5,50.0%,1.0,0.13333333333333333,0.9605263157894737,0,0.0,AJ Dobson (2022)
2023-08-12,MALE,Medium,Middleweight,"Las Vegas, Nevada, USA",0,AJ Dobson,124.0,124.0,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,31,2023,Red,Yes,1-2-0,0.3333333333333333,33.3%,1.0,0.22580645161290322,0.9605263157894737,0,0.0,AJ Dobson (2023)
2024-03-23,MALE,Medium,Middleweight,"Las Vegas, Nevada, USA",0,AJ Dobson,160.0,160.0,0,1,0,4.29,0.46,0.3,1.67,0.75,1,2,10,0,0,0,1,0,1,0,2,Orthodox,185.42,193.04,185,32,2024,Blue,No,2-2-0,0.5,50.0%,0.5,0.3125,0.9605263157894737,1,0.5,AJ Dobson (2024)
2022-08-20,MALE,Medium,Welterweight,"Salt Lake City, Utah, USA",1,AJ Fletcher,-165.0,60.6061,1,0,0,3.36,0.49,0.9,1.54,0.35,1,1,4,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,25,2022,Red,No,1-1-0,0.5,50.0%,1.0,0.16,1.0447761194029852,0,0.0,AJ Fletcher (2022)
2023-09-23,MALE,Medium,Welterweight,"Las Vegas, Nevada, USA",0,AJ Fletcher,160.0,160.0,0,1,0,3.36,0.49,0.9,1.54,0.35,1,2,9,0,0,0,0,1,1,0,2,Switch,177.8,170.18,170,26,2023,Blue,No,2-2-0,0.5,50.0%,1.0,0.34615384615384615,1.0447761194029852,0,0.0,AJ Fletcher (2023)
2010-11-20,MALE,Medium,Middleweight,"Auburn Hills, Michigan, USA",1,Aaron Simpson,115.0,115.0,1,0,0,30.0,0.493,0.25,2.0,0.633,3,1,8,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,36,2010,Red,No,3-1-0,0.75,75.0%,0.6666666666666666,0.2222222222222222,0.9863013698630138,1,0.3333333333333333,Aaron Simpson (2010)
2011-10-08,MALE,Medium,Middleweight,"Houston, Texas, USA",0,Aaron Simpson,-400.0,25.0,0,2,0,37.8571,0.537,0.4286,3.5714,0.499,3,2,17,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,170,37,2011,Red,Yes,5-2-0,0.7142857142857143,71.4%,0.4,0.4594594594594595,0.9863013698630138,3,0.6,Aaron Simpson (2011)
2012-10-05,MALE,Medium,Welterweight,"Minneapolis, Minnesota, USA",1,Aaron Simpson,135.0,135.0,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,2012,Red,No,7-3-0,0.7,70.0%,0.2857142857142857,0.6842105263157895,0.9863013698630138,5,0.7142857142857143,Aaron Simpson (2012)
2017-12-02,MALE,Medium,Welterweight,"Detroit, Michigan, USA",1,Abdul Razak Alhassan,-265.0,37.7358,1,0,0,27.5,0.485,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,32,2017,Blue,Yes,1-1-0,0.5,50.0%,1.0,0.125,0.9589041095890413,0,0.0,Abdul Razak Alhassan (2017)
2018-09-08,MALE,Medium,Welterweight,"Dallas, Texas, USA",0,Abdul Razak Alhassan,-110.0,90.9091,0,2,0,23.75,0.45,0.0,0.25,0.083,2,1,6,0,0,0,0,3,0,0,3,Orthodox,177.8,185.42,170,33,2018,Red,Yes,3-1-0,0.75,75.0%,1.0,0.18181818181818182,0.9589041095890413,0,0.0,Abdul Razak Alhassan (2018)
